m,n,k,p1,p2,p1_pct,p2_pct,tie_pct,games,p1_avg_runtime,p2_avg_runtime
4,4,3,mcts,ab,0,100,0,1,1.5514,0.0381
5,4,3,mcts,ab,0,100,0,1,2.6040,0.0930
4,4,3,mcts,ab,100,0,0,1,1.2367,0.1689
4,4,3,ab,mcts,100,0,0,1,0.3793,1.2820
4,4,3,mcts,ab,0,100,0,1,1.6571,0.0605
4,4,3,mcts,ab,100,0,0,1,0.9602,0.0571
4,4,3,ab,mcts,100,0,0,1,0.3014,1.0434
5,4,3,mcts,ab,0,100,0,1,1.7154,0.1251
5,4,3,ab,mcts,0,100,0,1,0.9414,1.4528
4,4,3,mcts,ab,0,100,0,1,1.3623,0.0423
4,4,3,ab,mcts,100,0,0,1,0.3116,1.3035
5,4,3,mcts,ab,100,0,0,1,1.5910,0.1357
5,4,3,ab,mcts,100,0,0,1,0.7592,1.3393
5,4,4,mcts,ab,100,0,0,1,1.4675,2.5237
4,4,3,mcts,ab,0,100,0,1,0.9085,0.0140
4,4,3,ab,mcts,100,0,0,1,0.3009,1.1868
5,4,3,mcts,ab,100,0,0,1,1.4787,0.1846
5,4,3,ab,mcts,100,0,0,1,0.7557,1.3733
5,4,4,mcts,ab,0,100,0,1,1.4778,2.8573
5,4,4,ab,mcts,0,0,100,1,3.7695,1.1736
5,5,3,mcts,ab,0,100,0,1,1.9503,0.1087
5,5,3,ab,mcts,100,0,0,1,1.8185,1.8021
4,4,3,mcts,ab,0,100,0,1,1.2163,0.1228
4,4,3,ab,mcts,100,0,0,1,0.3067,1.2068
5,4,3,mcts,ab,0,100,0,1,1.7546,0.0892

# data from 6-1-22
5,4,3,mcts,ab,34,66,0,100,1.0386,0.1153
5,4,3,ab,mcts,86,14,0,100,0.5184,1.0304
5,4,3,ab,mcts,90,10,0,100,0.4618,0.9614
5,4,4,ab,mcts,13,72,15,100,2.8572,0.8697
5,5,3,ab,mcts,81,19,0,100,1.1467,1.3137
6,6,3,mcts,ab,28,72,0,100,2.4313,1.4468
6,6,3,ab,mcts,90,10,0,100,7.0012,2.2287
7,7,3,mcts,ab,23,77,0,100,1.9761,4.1244
7,7,3,ab,mcts,94,6,0,100,38.4386,1.5269
